Material_ID,Material_Name,Category,Opening_Stock_kg,Received_kg,Consumed_kg,Closing_Stock_kg,Reorder_Point_kg,Safety_Stock_kg,Lead_Time_Days,Supplier_Name,Last_Delivery_Date,Next_Expected_Delivery
SR006,EPDM 4045,Synthetic Rubber,14000,5000,12000,7000,9000,7000,19,Indian Synthetic Corp,19-05-2026,16-06-2026
SR007,Butyl Rubber,Synthetic Rubber,22000,7000,18000,11000,12000,10000,18,PetroPolymer Ltd,18-05-2026,15-06-2026
SR008,Halobutyl Rubber,Synthetic Rubber,17000,4000,15000,6000,10000,8500,20,Reliance Elastomers,17-05-2026,17-06-2026
SR009,Polybutadiene Rubber,Synthetic Rubber,25000,9000,19000,15000,14000,11000,18,Indian Synthetic Corp,20-05-2026,14-06-2026
SR010,High Styrene Rubber,Synthetic Rubber,16000,3000,14000,5000,9000,7500,16,PetroPolymer Ltd,22-05-2026,12-06-2026
CB001,N220 Carbon Black,Carbon Black,30000,12000,25000,17000,15000,12000,10,Birla Carbon,25-05-2026,08-06-2026
CB002,N330 Carbon Black,Carbon Black,28000,10000,23000,15000,14000,11000,10,Phillips Carbon Black,24-05-2026,07-06-2026
CB003,N550 Carbon Black,Carbon Black,22000,6000,19000,9000,12000,9500,9,Birla Carbon,23-05-2026,06-06-2026
CB004,N660 Carbon Black,Carbon Black,18000,5000,16000,7000,10000,8000,8,Phillips Carbon Black,22-05-2026,05-06-2026
CB005,N772 Carbon Black,Carbon Black,16000,4000,13000,7000,9000,7000,8,Birla Carbon,21-05-2026,04-06-2026
CB006,N990 Carbon Black,Carbon Black,14000,3000,12000,5000,8000,6500,7,Phillips Carbon Black,20-05-2026,03-06-2026
CB007,Conductive Black,Carbon Black,12000,2000,10000,4000,7000,5500,7,Birla Carbon,19-05-2026,02-06-2026
CB008,Thermal Black,Carbon Black,20000,7000,17000,10000,11000,9000,9,Phillips Carbon Black,23-05-2026,06-06-2026
CB009,Reinforcing Black,Carbon Black,26000,9000,22000,13000,13000,10000,10,Birla Carbon,24-05-2026,07-06-2026
CB010,Specialty Black,Carbon Black,15000,4000,14000,5000,8500,7000,8,Phillips Carbon Black,22-05-2026,05-06-2026
SW001,Bead Wire 0.96mm,Steel Wire,18000,5000,14000,9000,10000,8000,12,Tata Steel Wires,21-05-2026,09-06-2026
SW002,Bead Wire 1.00mm,Steel Wire,20000,6000,16000,10000,11000,8500,12,Usha Martin,20-05-2026,08-06-2026
SW003,Steel Cord HT,Steel Wire,24000,8000,19000,13000,14000,11000,14,Tata Steel Wires,19-05-2026,10-06-2026
SW004,Steel Cord ST,Steel Wire,22000,7000,18000,11000,13000,10000,13,Usha Martin,18-05-2026,09-06-2026
SW005,Steel Filament A,Steel Wire,15000,3000,13000,5000,9000,7000,11,JSW Steel Wire,22-05-2026,07-06-2026
SW006,Steel Filament B,Steel Wire,17000,4000,15000,6000,9500,7500,11,Tata Steel Wires,23-05-2026,08-06-2026
SW007,High Tensile Wire,Steel Wire,26000,9000,21000,14000,15000,12000,15,Usha Martin,17-05-2026,11-06-2026
SW008,Brass Coated Wire,Steel Wire,19000,5000,17000,7000,11000,8500,12,JSW Steel Wire,21-05-2026,09-06-2026
SW009,Bronze Coated Wire,Steel Wire,14000,3000,12000,5000,8000,6500,10,Tata Steel Wires,24-05-2026,06-06-2026
SW010,Tyre Reinforcement Wire,Steel Wire,23000,7000,18000,12000,13000,10000,13,Usha Martin,20-05-2026,09-06-2026
CH001,Zinc Oxide,Chemicals,10000,3000,8500,4500,6000,5000,7,Lanxess Chemicals,25-05-2026,04-06-2026
CH002,Stearic Acid,Chemicals,9000,2000,7000,4000,5000,4000,6,India Additives Ltd,24-05-2026,03-06-2026
CH003,Sulfur Powder,Chemicals,12000,4000,10000,6000,7000,5500,7,Lanxess Chemicals,23-05-2026,05-06-2026
CH004,CBS Accelerator,Chemicals,8000,2000,7000,3000,4500,3500,5,India Additives Ltd,22-05-2026,02-06-2026
CH005,TBBS Accelerator,Chemicals,7000,1500,6500,2000,4000,3000,5,Lanxess Chemicals,21-05-2026,01-06-2026
CH006,Antioxidant TMQ,Chemicals,11000,3000,9500,4500,6000,5000,6,Eastman Chemicals,20-05-2026,03-06-2026
CH007,Antiozonant 6PPD,Chemicals,10000,2500,9000,3500,5500,4500,6,Eastman Chemicals,19-05-2026,02-06-2026
CH008,Processing Oil,Chemicals,18000,6000,14000,10000,9000,7000,8,HP Lubricants,18-05-2026,05-06-2026
CH009,Resin Tackifier,Chemicals,6000,1000,5000,2000,3500,2500,5,India Additives Ltd,24-05-2026,01-06-2026
CH010,Silica Filler,Chemicals,15000,5000,13000,7000,8000,6500,8,Evonik India,23-05-2026,06-06-2026
